Name,Machine name,Type,Required,# Values,Field settings,Default,Help text,Notes,Open questions / blockers
Title,title,"title
",,1,This is another column for notes,,,Using core titles for nodes and files,n
Short Title,field_text_title_short,text,,1,,Field creator,,,Y
body,field_text_body,text_long,y,1,,,,,
Text List,field_text_list,list_text,n,unlimited,,,This is a test text list,,
Text with summary,field_text_with_summary,text_with_summary,y,1,,,,,
Address,field_address_,addressfield,N,1,,,,,n
Datetime,field_datetime,datetime,n,1,,,,,
Date,field_date,date,Y,2,,,,,
Datestamp,field_datestamp,datestamp,n,1,,,,,
Email,field_email,email,n,unlimited,,,,,
Link,field_link,link_field,,unlimited,,,,,
Decimal,field_decimal,number_decimal,N,3,,,,,
Float,field_float,number_float,n,5,,,,,
Integer,field_integer,number_integer,Y,1,,,,,
boolean,field_boolean,list_boolean,,1,,,,,N
Float list,field_float_list,list_float,n,1,,,,,
Integer List,field_integer_list,list_integer,n,2,,,,,
Files,field_files,file,,unlimited,,,,,N
Image,field_image,image,,1,,,,,n
Name,field_name,name,y,1,,,,,n
Taxonomy term ref,field_taxonomy_term_ref,taxonomy_term_reference,n,1,,,,,
Entityreference Taxonomy example,field_refterm_example,entityreference,n,1,,,,all Taxonomy reference fields using entity reference need to start with field_refterm_,
Entityreference Node example,field_ref_example,entityreference,n,1,,,,All Node reference fields using entity reference need to start with field_ref_,
